code,name,tel,address
114107,國圖門市,(02)23141506,台北市中正區中山南路20號B1樓
990592,欣漢華門市,(02)23613686,台北市中正區中華路一段41號1樓
125875,華慶門市,(02)23886735,台北市中正區中華路一段59之16號
117645,萬光門市,(02)23021224,台北市中正區中華路二段157號
118899,掬華門市,(02)23375810,台北市中正區中華路二段407號
135296,仁金門市,(02)23583428,台北市中正區仁愛路二段39號39-1號
900474,萬翔門市,(02)23757275,台北市中正區公園路13號
965024,臨沂門市,(02)23938772,台北市中正區文祥里臨沂街74號76號
137018,台北五門市,(02)23894079,台北市中正區北平西路3號
964906,台北六門市,(02)23897990,台北市中正區北平西路3號
127941,台北3門市,電話(02)23115743,台北市中正區北平西路3號(西北站)
985235,台北2門市,電話(02)23892306,台北市中正區北平西路3號(西南站)
960454,台北4門市,電話(02)23892297,台北市中正區北平西路3號(東北站)
961136,台北1門市,電話(02)23892260,台北市中正區北平西路3號(東南站)
127860,北高鐵門市,(02)23149940,台北市中正區北平西路3號B1樓
140461,汀州門市,(02)23098147,台北市中正區汀州路一段129號
976046,鑫泉州門市,(02)23054054,台北市中正區汀州路一段285號一樓
110448,古亭門市,(02)23646532,台北市中正區汀州路二段210號
112662,軍總門市,(02)23653720,台北市中正區汀州路三段129號
874872,統全門市,(02)23658638,台北市中正區汀州路三段249號
844860,晉江門市,(02)23654771,台北市中正區和平西路一段26號
128508,新愛國門市,(02)23710027,台北市中正區延平南路177號
932910,中樂門市,(02)23122424,台北市中正區延平南路47號
967204,鑫台北門市,(02)23312768,台北市中正區忠孝西路一段35號一樓
119294,捷欣門市,(02)23815124,台北市中正區忠孝西路一段47號B1樓(25號櫃)
122050,捷市門市,(02)23713477,台北市中正區忠孝西路一段49號B3樓
960339,捷戰門市,(02)23826275,台北市中正區忠孝西路一段50-1號(捷運地下街)
874252,華山門市,(02)23214407,台北市中正區忠孝東路一段138號
113551,忠聯門市,(02)23215793,台北市中正區忠孝東路二段100號1樓
896067,統聯門市,(02)23579051,台北市中正區忠孝東路二段130-2號130-3號
972321,鑫杭門市,(02)23579224,台北市中正區杭州南路一段23號
128302,丹陽門市,(02)23516914,台北市中正區杭州南路一段83號
883267,中航門市,(02)23278931,台北市中正區林森南路12號
140807,千成門市,(02)23577481,台北市中正區林森南路4號之3
975788,台大門市,(02)23928922,台北市中正區林森南路53號55號
127790,重南門市,(02)23884895,台北市中正區武昌街一段1-2號1樓
122522,博美門市,(02)23712385,台北市中正區武昌街一段45號1樓
833239,金山門市,(02)23560002,台北市中正區金山南路一段108號
119607,英雄館門市,(02)23888493,台北市中正區長沙街一段20號1樓
129110,青島門市,(02)23516965,台北市中正區青島東路4號
981945,興信鑫門市,(02)23144196,台北市中正區信陽街12號14號1樓
971890,鑫公信門市,(02)23898704,台北市中正區信陽街2-1號
952040,新紹南門市,(02)23219916,台北市中正區信義路一段13-1號
991562,中華電門市,(02)33433607,台北市中正區信義路一段21-3號B1樓
130796,杭信門市,(02)23584603,台北市中正區信義路二段15號1樓
140759,南昌門市,(02)23933036,台北市中正區南昌路一段72號
956134,同昌門市,(02)23679923,台北市中正區南昌路二段173號
976529,南海門市,(02)23962768,台北市中正區南海路50號
981554,博源門市,(02)23684419,台北市中正區思源街16號
996110,鑫大孝門市,(02)23719010,台北市中正區重慶南路一段1-1號一樓
128070,紹興門市,(02)23224595,台北市中正區紹興北街37號1樓
110817,千翔門市,(02)23123025,台北市中正區許昌街17號1樓
985280,新雲門市,(02)23939186,台北市中正區連雲街81號
136392,大永博門市,(02)23826912,台北市中正區博愛路97號1樓
960409,開懷門市,(02)23121916,台北市中正區開封街一段25號
128922,開博門市,(02)23119208,台北市中正區開封街一段40號42號1樓
146115,新廈門門市,(02)23677374,台北市中正區廈門街42號46號
121987,牯嶺門市,(02)23686248,台北市中正區廈門街99巷19-2號1樓
972354,教育大門市,(02)23123272,台北市中正區愛國西路1號教育大學內
146229,新南門市,(02)23435207,台北市中正區新生南路一段126-7號
956260,寧波門市,(02)23221617,台北市中正區寧波西街3號
118420,鑫重寧門市,(02)33225836,台北市中正區寧波西街86號1樓
121792,中愛門市,(02)23415461,台北市中正區寧波東街17號1樓
135872,漢慶門市,(02)23122948,台北市中正區漢口街一段82號1樓
