state,type,name,country,district,location,tel
開業,藥事機構,羽田藥局,臺南市,中西區,府前路一段214號,06-2214066
開業,藥事機構,健康人生藥局,臺南市,中西區,中山路125之65號,06-2258628
開業,藥事機構,平安藥局,臺南市,中西區,永華路一段236號,06-2292789
開業,藥事機構,發育藥局,臺南市,中西區,海安路1段205號1樓,06-2215896
開業,藥事機構,台南藥局,臺南市,中西區,民族路3段43號,06-2249705
開業,藥事機構,韓政藥局,臺南市,中西區,和善街2號,06-2597270
開業,藥事機構,千代藥局,臺南市,中西區,民生路一段60號1樓,06-2256895
開業,藥事機構,健國藥局,臺南市,中西區,民權路1段34號,06-2279568
開業,藥事機構,吉安藥局,臺南市,中西區,成功路289號,06-2227394
開業,藥事機構,新隆安藥局,臺南市,中西區,青年路165號,06-2225475
開業,藥事機構,金德藥局,臺南市,中西區,府前路1段33號,06-2149082
開業,藥事機構,盈興藥局,臺南市,中西區,中正路122號,06-2204131
開業,藥事機構,春天藥局,臺南市,中西區,民族路2段274號,06-2221562
開業,藥事機構,協和藥局,臺南市,中西區,青年路195號,06-2263061
開業,藥事機構,泰元藥局,臺南市,中西區,民權路1段87號,
開業,藥事機構,東北藥局,臺南市,中西區,西門路2段14號,06-2226753
開業,藥事機構,瑞芳藥局,臺南市,中西區,府前路1段134號,06-2223798
開業,藥事機構,高明藥師保健藥局,臺南市,中西區,西門路1段448號,06-2133158
開業,藥事機構,吉仁大藥局,臺南市,中西區,民權路2段86號,06-2263777
開業,藥事機構,快安藥局,臺南市,中西區,永福路2段84號之15,06-2254543
開業,藥事機構,王子藥局,臺南市,中西區,忠義路2段203號,06-2226330
開業,藥事機構,泰毅藥局,臺南市,中西區,友愛街46之1號,06-2257181
開業,藥事機構,萬國藥局,臺南市,中西區,廣慈街六號,06-2228825
開業,藥事機構,大全藥局,臺南市,中西區,府連路39號,06-2145007
開業,藥事機構,丞功藥局,臺南市,中西區,成功路31號,06-2287641
開業,藥事機構,府前藥師藥局,臺南市,中西區,府前路1段270號,06-2284411
開業,藥事機構,五代全民藥局,臺南市,中西區,民族路2段76-9號,06-2264800
開業,藥事機構,常新藥局,臺南市,中西區,健康路一段370號,
開業,藥事機構,自在藥局,臺南市,中西區,民生路2段63號,06-2235520
開業,藥事機構,三芳藥局,臺南市,中西區,大勇街5號,06-2203084
開業,藥事機構,雅里藥局,臺南市,中西區,民族路3段285號,06-2200881
開業,藥事機構,長泰藥局,臺南市,中西區,武聖路69巷35號,06-2598743
開業,藥事機構,永祥藥局,臺南市,中西區,民權路3段204號,06-2212163
開業,藥事機構,星宗藥局,臺南市,中西區,大勇街37號,06-2223457
開業,藥事機構,銘豐藥局,臺南市,中西區,西賢1街80號,06-2596991
開業,藥事機構,啟全藥師藥局,臺南市,中西區,金華路3段194號,06-2204768
開業,藥事機構,百健藥局,臺南市,中西區,成功路303號,06-2277887
開業,藥事機構,昶欣藥局,臺南市,中西區,西賢1街110號,06-2505830
開業,藥事機構,和生堂藥局,臺南市,中西區,大勇街一號之一,
開業,藥事機構,康乃爾藥局,臺南市,中西區,成功路321號,06-2267917
開業,藥事機構,西門藥局,臺南市,中西區,西門路2段209號,06-2211222
開業,藥事機構,田邊藥局,臺南市,中西區,中正路236號,06-2200106
開業,藥事機構,日日康藥局,臺南市,中西區,武聖路137號,06-2595259
開業,藥事機構,慶大藥局,臺南市,中西區,民權路二段182號,2251188
開業,藥事機構,橘井藥局,臺南市,中西區,開山路51號,06-2210759
開業,藥事機構,福氣藥局,臺南市,中西區,民族路三段179號1樓,06-2221590
開業,藥事機構,麗欣健保藥局,臺南市,中西區,永華路一段194號1樓,06-2209393
開業,藥事機構,南門藥局,臺南市,中西區,五妃里南門路233號之4,06-2141615、06-2132256
開業,藥事機構,遵德中西藥局,臺南市,中西區,府前路一段173號,06-2151317
開業,藥事機構,恩泉藥局,臺南市,東區,崇明路207號1樓,
開業,藥事機構,裕信市安藥師藥局,臺南市,東區,裕信路173號,06-3318138
開業,藥事機構,安興裕信藥局,臺南市,東區,裕農路962號,06-3307413
開業,藥事機構,佳德昌藥局,臺南市,東區,中華東路3段119號,06-2903539、06-7034222
開業,藥事機構,美德崇德藥局,臺南市,東區,崇德路350號1樓,06-3000500
開業,藥事機構,東門啄木鳥藥局,臺南市,東區,東門路三段161號,
開業,藥事機構,元大中西藥局,臺南市,東區,東興路81號,06-2345770
開業,藥事機構,統一藥局,臺南市,東區,東門路1段291號,06-2376638
開業,藥事機構,大來藥局,臺南市,東區,東安路172之1號,06-2389580
開業,藥事機構,裕笙藥局,臺南市,東區,東門路1段203號,06-2375323
開業,藥事機構,佳禾藥局,臺南市,東區,東寧路213號,06-2380872
開業,藥事機構,周藥師藥局,臺南市,東區,崇善路654號,06-2678421
開業,藥事機構,懷仁藥局,臺南市,東區,崇德路342號,06-2694895
開業,藥事機構,大茂元藥局,臺南市,東區,生產路335號之2,06-2601937
開業,藥事機構,文成藥局,臺南市,東區,東寧路43之1號,06-2340860
開業,藥事機構,王藥局,臺南市,東區,小東路190之1號,06-2378697
開業,藥事機構,大家藥局,臺南市,東區,大同路2段175號,06-2153777
開業,藥事機構,簡藥局,臺南市,東區,東榮街1之2號,06-2368796
開業,藥事機構,宏昌藥局,臺南市,東區,大同路1段271號,06-2142459
開業,藥事機構,正忠藥局,臺南市,東區,林森路2段192巷24弄5號,06-2370030
開業,藥事機構,賴藥局,臺南市,東區,裕農路621巷26之2號,06-2363738
開業,藥事機構,三祐堂藥局,臺南市,東區,東門路2段366號,06-2673654
開業,藥事機構,乙田藥局,臺南市,東區,怡東路30號,06-2359303
開業,藥事機構,榮泰藥局,臺南市,東區,林森路2段192巷49號,06-2369095
開業,藥事機構,顥瑄藥局,臺南市,東區,富農街1段69號,06-2678379
開業,藥事機構,中華台安藥局,臺南市,東區,中華東路1段4號1樓,06-2763136
開業,藥事機構,崇明保健藥局,臺南市,東區,崇明路972號1樓,06-2008088
開業,藥事機構,安麗兒藥局裕農店,臺南市,東區,裕農路100號1樓,06-2377378
開業,藥事機構,宏荏藥局,臺南市,東區,崇明11街52巷2號,06-2684725
開業,藥事機構,安康藥局,臺南市,東區,大同路2段59號,06-2156365
開業,藥事機構,裕康藥局,臺南市,東區,崇明十四街81號,06-2604477
開業,藥事機構,維康中西藥局,臺南市,東區,勝利路39號,06-2350490、2341402
開業,藥事機構,信峰藥局,臺南市,東區,仁和路104之4號,06-2674560
開業,藥事機構,安生藥局,臺南市,東區,裕農路151號,06-2361976
開業,藥事機構,益丞藥局,臺南市,東區,裕農路348號,06-2359865
開業,藥事機構,炫德藥局,臺南市,東區,生產路339號,06-2688191
開業,藥事機構,良泰藥局,臺南市,東區,仁和路117號之1,06-2676256
開業,藥事機構,建龍藥局,臺南市,東區,中華東路2段257號,06-2676805
開業,藥事機構,億安大藥局,臺南市,東區,大同路2段265號,06-2671881
開業,藥事機構,華興藥局,臺南市,東區,崇善路562號,06-2683757
開業,藥事機構,宏成藥局,臺南市,東區,裕農路116號,06-2359339
開業,藥事機構,明遠藥師藥局,臺南市,東區,德東街63號,06-2908360
開業,藥事機構,崇安藥師藥局,臺南市,東區,崇學路287號,06-2904717
開業,藥事機構,光明宜康保健藥局,臺南市,東區,光明街36之2號一樓,06-2233977
開業,藥事機構,小太陽藥局,臺南市,東區,東平路13號,06-2099858
開業,藥事機構,宏佳藥局,臺南市,東區,崇德路六八一號,06-2600219
開業,藥事機構,現代大藥局,臺南市,東區,仁和路110之2號一樓,06-3357051
開業,藥事機構,台安藥局,臺南市,東區,大同路1段163號,06-2721557
開業,藥事機構,王瑞敏藥師藥局,臺南市,東區,崇德路739號,06-2896888
開業,藥事機構,大林藥局,臺南市,東區,大同路2段143號,06-2143328
開業,藥事機構,晉大藥局,臺南市,東區,東興路264號,06-2092580
開業,藥事機構,菁安藥局,臺南市,東區,中華東路2段49號,06-2084861
開業,藥事機構,林英文藥局,臺南市,東區,裕農路八六六之二號,06-3311252
開業,藥事機構,家庭藥局,臺南市,東區,生產路369之3號,06-2607298
開業,藥事機構,崇仁藥局,臺南市,東區,崇學路231號,06-2894115
開業,藥事機構,慈惠藥局,臺南市,東區,前鋒路27號,06-2760746
開業,藥事機構,群康藥局,臺南市,東區,中華東路3段238號1樓,06-3353098
開業,藥事機構,善林藥局,臺南市,東區,崇明路123號,06-3364699
開業,藥事機構,早安藥師藥局,臺南市,東區,富農街1段300巷1之1號,06-3351295
開業,藥事機構,辰光藥局,臺南市,東區,裕農路670-672號,06-2674585
開業,藥事機構,揚名藥局,臺南市,東區,莊敬路158巷13號,06-2369983
開業,藥事機構,和信藥局,臺南市,東區,裕農路27之1號,06-2094312
開業,藥事機構,連春藥局,臺南市,東區,莊敬路15 號,06-2083685
開業,藥事機構,一品健康藥局,臺南市,東區,崇學路50-1號,06-2676825
開業,藥事機構,媽媽藥師藥局,臺南市,東區,裕文路45號,06-3350490
開業,藥事機構,盈如藥局,臺南市,東區,中華東路3段68號1樓,06-2895839
開業,藥事機構,微風藥局,臺南市,東區,崇學路92號1樓,06-2678490
開業,藥事機構,羽杏藥局,臺南市,東區,崇學路259號,06-2893330
開業,藥事機構,美立康藥局,臺南市,東區,裕文路72號1樓,06-3316363
開業,藥事機構,麗生藥師藥局,臺南市,東區,崇德路565號,06-3360820
開業,藥事機構,禾田聯合藥局,臺南市,東區,崇明路191號,06-2892393
開業,藥事機構,嘉嘉藥局,臺南市,東區,東興路20巷36號,
開業,藥事機構,太和藥師藥局,臺南市,東區,仁和路51-1號,06-2906063
開業,藥事機構,翌宏藥師藥局,臺南市,東區,崇善路471號,06-2899555
開業,藥事機構,崇明台安藥局,臺南市,東區,崇明路304號,06-2900350
開業,藥事機構,幸運藥局,臺南市,東區,東門路二段201號,06-2371675
