area,things,location,size,ciy_part,non_city_part,non_city_sub,date,items,tranf,height,tpye,usage,material,compele_year,tranf_area,house,hall,toilet,part_house,org,total_price,price_per_m,car_tpye,car_area,car_price
中西區,房地(土地+建物),臺南市中西區大新街31~60號,90.0,住,,,10302,土地2建物1車位0,全,003,透天厝,住商用,鋼筋混凝土構造,0681106,196.99,6,1,3,有,無,8500000,43149,,0.0,0
安平區,房地(土地+建物)+車位,臺南市安平區郡平路181~210號,13.55,住,,,10303,土地1建物1車位1,十二層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0880622,112.6,3,2,2,有,有,5500000,48845,坡道平面,0.0,0
中西區,房地(土地+建物),臺南市中西區文和街91~120號,70.79,住,,,10303,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土構造,0830105,125.51,6,2,3,有,無,2800000,22309,,0.0,0
北區,房地(土地+建物)+車位,臺南市北區中華北路一段362巷31~60號,65.32,住,,,10303,土地1建物1車位1,全,004,透天厝,住家用,鋼筋混凝土構造,0840325,171.22,4,2,3,有,無,6800000,39715,一樓平面,0.0,0
北區,房地(土地+建物)+車位,臺南市北區北園街31~60號,8.82,商,,,10302,土地2建物1車位1,四層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0870420,78.78,2,2,1,有,有,2950000,37446,坡道機械,10.36,0
北區,房地(土地+建物),臺南市北區文賢二街117巷31~60號,89.0,住,,,10303,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土構造,0780907,157.34,6,1,6,有,無,9700000,61650,,0.0,0
安平區,房地(土地+建物),臺南市安平區怡平路442巷61~90號,22.04,住,,,10304,土地1建物1車位0,三層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0820903,116.8,3,1,2,有,有,2850000,24401,,0.0,0
北區,房地(土地+建物),臺南市北區公園南路362巷1~30號,10.66,住,,,10303,土地1建物1車位0,四層,025,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0840104,131.09,3,2,2,有,無,5100000,38905,,0.0,0
北區,房地(土地+建物)+車位,臺南市北區長榮路五段301~330號,31.93,住,,,10303,土地1建物1車位1,六層,013,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土構造,0911227,143.07999999999998,3,2,2,有,有,4800000,33548,坡道平面,0.0,0
北區,房地(土地+建物),臺南市北區公園南路362巷1~30號,10.66,住,,,10303,土地1建物1車位0,四層,025,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0840104,131.09,3,2,2,有,有,5100000,38905,,0.0,0
北區,房地(土地+建物),臺南市北區成功路571~600號,2.73,住,,,10303,土地1建物1車位0,十二層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0840307,30.08,1,0,0,有,有,780000,25931,,0.0,0
北區,房地(土地+建物),臺南市北區市北區賢北里和緯路五段121~150號,164.8,住,,,10303,土地1建物1車位0,全,005,透天厝,見其他登記事項,鋼筋混凝土構造,0861203,525.31,8,2,8,有,無,36800000,70054,,0.0,0
安平區,房地(土地+建物),臺南市安平區建平八街450巷1~30號,16.56,住,,,10303,土地2建物1車位0,六層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0830330,122.43,3,2,2,有,有,4300000,35122,,0.0,0
北區,房地(土地+建物),臺南市北區北園街8巷1~30號,3.23,商,,,10303,土地1建物1車位0,四層,019,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0851202,34.2,0,0,0,無,有,1100000,32164,,0.0,0
安平區,房地(土地+建物),臺南市安平區育平八街31~60號,21.97,住,,,10303,土地1建物1車位0,四層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0821018,121.4,3,2,2,有,有,4030000,33196,,0.0,0
北區,房地(土地+建物),臺南市北區成功路1~30號,14.5,住,,,10212,土地3建物2車位0,九層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0731228,181.3,4,4,2,有,無,2700000,14892,,0.0,0
