name,addr,tel
行政院衛生署台南醫院,臺南市中西區中山路１２５號,06 2200055
仁村醫院,臺南市中西區西門路１段486號、488號1樓及中西區府緯街63號,2152607
永和醫院,臺南市中西區府前路１段304巷2號,2231191
永川醫院,臺南市中西區成功路１６９號,06 2245771
洪外科醫院,臺南市中西區民生路2段６０號,06 2240011
郭綜合醫院,臺南市中西區民生路2段6.8.10.12.14.18.20.22.23.24.25.27.44號,2221111
台南市立醫院,臺南市東區崇德路６７０號,06 2609926
仁愛醫院,臺南市東區北門路１段10號、30巷16號,06 2213111
台灣基督長老教會新樓醫療財團法人台南新樓醫院,臺南市東區東門路１段５７號,06 2748316
奇美醫療財團法人奇美醫院台南分院,臺南市南區樹林街２段４４２號,06 2228116
美德中醫醫院,臺南市北區公園路６６１號,06 2517956
志誠醫院,臺南市北區公園路３１５之１號,06 2210423
國立成功大學醫學院附設醫院,臺南市北區勝利路１３８號,06 2353535
開元寺慈愛醫院,臺南市北區北園街89之1號,2384111
陳澤彥婦產科醫院,臺南市北區中華北路二段101號1、2、3樓,06-3505000
臺南市立安南醫院-委託中國醫藥大學興建經營,臺南市安南區長和路二段66號,06-3353111
高雄榮民總醫院臺南分院,臺南市永康區復興路427號,06 3125101
晉生醫療社團法人晉生慢性醫院,臺南市永康區中山南路902巷5號2樓及7號,06-2330003
永達醫療社團法人永達醫院,臺南市永康區永大路二段1326號,06-2311111
奇美醫療財團法人奇美醫院,臺南市永康區中華路901號,06-2812811
行政院衛生署台南醫院新化分院,臺南市新化區那拔里牧場72號,06-5911929
財團法人台灣省私立台南仁愛之家附設精神療養院,臺南市新化區中山路20號,06 5902336
行政院衛生署嘉南療養院,臺南市仁德區中山路870巷80號,06-2795019
行政院衛生署胸腔病院,臺南市仁德區中山路864號,06 -2705911
台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,臺南市麻豆區小埤里苓子林20號,06-5702228
奇美醫療財團法人佳里奇美醫院,臺南市佳里區興化里606號,06-7263333
新生醫院,"臺南市佳里區新生路272號,297號1- 4樓",06 7223122
行政院衛生署新營醫院,臺南市新營區信義街73號,06-6351131
營新醫院,臺南市新營區隋唐街228號,6592592
信一骨科醫院,臺南市新營區民生路43之26號,06-6350035
新興醫療社團法人新興醫院,臺南市新營區中興路10號,06-6330011
佑昇醫院,臺南市白河區民安路一號,06-6841999
奇美醫療財團法人柳營奇美醫院,臺南市柳營區太康里201號,06-6226999
宏科醫院,臺南市善化區三民路1-35號,06-5818868
謝醫院,臺南市善化區中正路436號,06 5838209
