code,name,tel,address
920582,新新賢門市,(07)2385607,高雄市新興區七賢一路268號270號
110769,信賢門市,(07)2360634,高雄市新興區七賢一路432號1樓
996899,建興門市,(07)2863634,高雄市新興區七賢二路86號
928612,大港埔門市,(07)2820698,高雄市新興區大同一路81號83號
956400,天健門市,(07)2861637,高雄市新興區中山一路279號
130246,尚義門市,(07)2236482,高雄市新興區中正二路218號
956352,中義門市,(07)2369600,高雄市新興區中正三路30號
971502,新三華門市,(07)2368423,高雄市新興區中東里復興一路72號1樓
948708,興村門市,(07)2829812,高雄市新興區五福二路92號
980403高銀門市,(07)2357948,高雄市新興區六合一路158號
981820,鑫明莊門市,(07)2854756,高雄市新興區六合二路24號
896746,文昌門市,(07)2242435,高雄市新興區六合路117號
972653,清漢門市,(07)2222403,高雄市新興區民生一路154號1樓
129198,明星門市,(07)2889297,高雄市新興區自立二路146號
127181,新球庭門市,(07)2414895,高雄市新興區林森一路164號之1
865627,寶成門市,(07)2822363,高雄市新興區青年一路220號
905077,復橫門市,(07)2268701,高雄市新興區復興一路28號30號
895879,新田門市,(07)2115007,高雄市新興區新田路189號191號
860208,新盛門市,(07)2871936,高雄市前金區七賢二路193號193之1
996682,青盛門市,(07)2729349,高雄市前金區大同一路268號1樓
970303,新華都門市,(07)2814355,高雄市前金區中華三路237-1號1樓
961712,龍客門市,(07)2415060,高雄市前金區中華三路79號
127985,長生門市,(07)2610818,高雄市前金區五福三路54號
935816,市賢門市,(07)2716220,高雄市前金區市中一路242號
132150,太華門市,(07)2153185,高雄市前金區成功一路455之1號
141224,新生門市,(07)2411065,高雄市前金區自強一路71號73號1樓
928597,前金門市,(07)2419355,高雄市前金區自強二路172號
833594,自強門市,(07)2515634,高雄市前金區自強二路39號
990477,愛河門市,(07)2414252,高雄市前金區河東路8號1樓
885838,文東門市,(07)2169478,高雄市前金區新田路226號228號
822572,長興門市,(07)2887238,高雄市前金區瑞源路68號70號72號
893541,三信門市,(07)7137253,高雄市苓雅區三多一路186號
131881,福海門市,(07)7279275,高雄市苓雅區三多一路239號1樓
943633,宏順門市,(07)7214300,高雄市苓雅區三多一路68號70號
914152,東泥門市,(07)2691458,高雄市苓雅區三多四路93號
886299,大順門市,(07)7230499,高雄市苓雅區大順三路76號1樓
896997,中雅門市,(07)5370234,高雄市苓雅區中山二路463號
137041高昇門市,(07)3348738,高雄市苓雅區中華四路64號
864381,博仁門市,(07)2710775,高雄市苓雅區五福三路101-6號7號8號11號
875440,合平門市,(07)2274811,高雄市苓雅區六合路60號
128612,華堂門市,(07)3384922,高雄市苓雅區文橫二路41號
126199,廣東門市,(07)7110044,高雄市苓雅區四維二路94之21號
