code,name,tel,address
116033,溫泉門市,(02)24987100,新北市萬里區加投路197-2號
961354,新野柳門市,(02)24926187,新北市萬里區野柳港東路158號
875417,萬里門市,(02)24924901,新北市萬里區瑪鍊路49號51號
127952,翡翠灣門市,(02)24928842,新北市萬里區龜吼村美崙38號39號
823058,北海門市,(02)24986492,新北市金山區中山路105號
977946,金中門市,(02)24081762,新北市金山區中山路305號307號
119043,金祥門市,(02)24082441,新北市金山區中正路145號
999854,金全門市,(02)24081935,新北市金山區清水路52號
125613,新翠華門市,(02)29547438,新北市板橋區三民路一段31巷14號16號
116619,豐成門市,(02)29506225,新北市板橋區三民路一段31巷89弄18號20號
135388,正泰門市,(02)29622750,新北市板橋區三民路二段202-20及21號1樓
138882,觀泰門市,(02)29686509,新北市板橋區大觀路二段174巷166弄2號4號
982579,新觀和門市,(02)22754553,新北市板橋區大觀路二段55號57號1樓
993627,溪崑門市,(02)26829303,新北市板橋區大觀路三段212巷70號72號1樓
980621,新北市門市,(02)89524223,新北市板橋區中山路一段161號B1
110301,耀心門市,(02)89541780,新北市板橋區中山路一段50巷22-2-15-39-46號
127963,家豐門市,(02)29591020,新北市板橋區中山路二段141號
977234,福利門市,(02)29628347,新北市板橋區中山路二段172號
971915,光仁門市,(02)29592301,新北市板橋區中山路二段273號
131490,樂福門市,(02)29633922,新北市板橋區中山路二段304號306號1樓
136473,馥都門市,(02)29640706,新北市板橋區中山路二段399號401號
931571,舊社門市,(02)29636183,新北市板橋區中山路二段412號
953663,青蘋果門市,(02)29629746,新北市板橋區中山路二段531巷17弄20號
999865,板林門市,(02)29671903,新北市板橋區中正路1巷18號
921998,緯中門市,(02)29657833,新北市板橋區中正路21號23號
136428,正華門市,(02)29681440,新北市板橋區中正路274號276號
992037,中一門市,(02)29654415,新北市板橋區中正路332之5號1樓
891730,佑容門市,(02)29595675,新北市板橋區五權街49號51號
118349,新板橋門市,(02)29686041,新北市板橋區文化路一段135號
901710,偉嘉門市,(02)22595486,新北市板橋區文化路一段270巷3弄2號
132079,百壽門市,(02)22541758,新北市板橋區文化路一段305號1樓
112732,埔西門市,(02)22555399,新北市板橋區文化路一段419之5號1樓
136554,板站北門市,(02)22729547,新北市板橋區文化路一段54,號(板站北)
975700,板站東門市,(02)22724021,新北市板橋區文化路一段54,號(板站東)
967879,板站門市,(02)22727815,新北市板橋區文化路一段54號B1,樓(板站)
864060,板聖門市,(02)22524835,新北市板橋區文化路二段472號
135285,文聖門市,(02)22589508,新北市板橋區文聖街64號
118512,建茗門市,(02)29565541,新北市板橋區四川路一段104號
131216,華德門市,(02)89664633,新北市板橋區四川路二段47巷3弄8號及8之1號
966360,亞苑門市,(02)89676239,新北市板橋區四川路二段51號
946056,維群門市,(02)22596008,新北市板橋區四維路139號
112547,維禮門市,(02)22578479,新北市板橋區四維路278號280號1樓
985534,正隆門市,(02)29567793,新北市板橋區民生路一段53號
128955,萬鄰門市,(02)22588121,新北市板橋區民生路二段226巷46號1樓
117117,埔站門市,(02)22552884,新北市板橋區民生路二段247號1樓
